Hãng_Mẫu,Năm_SX,Giá_Triệu,Địa_Điểm,Chuỗi_Gốc,Số_KM
Toyota Avanza,2026.0,498,TP HCM,Ban xe oto Toyota Avanza 2026 Premio 1.5 MT gia 498 Triệu - TP HCM,
Mercedes Benz GLC,2025.0,1879,TP HCM,Ban xe oto cu Mercedes Benz GLC 2025 200 4Matic gia 1 Tỷ 879 Triệu - TP HCM,8000.0
Kia K3,2021.0,523,TP HCM,Ban xe oto cu Kia K3 2021 Luxury 1.6 AT gia 523 Triệu - TP HCM,55000.0
Mercedes Benz GLK Class,2014.0,633,Hà Nội,Ban xe oto cu Mercedes Benz GLK Class 2014 GLK220 CDI 4Matic gia 633 Triệu - Hà Nội,100000.0
Mini Cooper,2025.0,2129,Hà Nội,Ban xe oto Mini Cooper 2025 S 5 Door gia 2 Tỷ 129 Triệu - Hà Nội,
Volkswagen Teramont,2026.0,2888,TP HCM,Ban xe oto Volkswagen Teramont 2026 Pro Max 2.0 AT gia 2 Tỷ 888 Triệu - TP HCM,
Mercedes Benz C class,2022.0,1369,Hà Nội,Ban xe oto cu Mercedes Benz C class 2022 C200 Avantgarde Plus gia 1 Tỷ 369 Triệu - Hà Nội,20000.0
Kia Morning,2018.0,275,Hà Nội,Ban xe oto cu Kia Morning 2018 Si AT gia 275 Triệu - Hà Nội,10000.0
Lexus LX,2026.0,8590,Hà Nội,Ban xe oto Lexus LX 2026 600 Urban gia 8 Tỷ 590 Triệu - Hà Nội,
Mitsubishi Xforce,2024.0,580,Hà Nội,Ban xe oto cu Mitsubishi Xforce 2024 Premium gia 580 Triệu - Hà Nội,46666.0
Mitsubishi Xpander,2026.0,578,Thanh Hóa,Ban xe oto Mitsubishi Xpander 2026 Cross 1.5 AT gia 578 Triệu - Thanh Hóa,
Toyota Innova,2006.0,165,TP HCM,Ban xe oto cu Toyota Innova 2006 G gia 165 Triệu - TP HCM,100000.0
Ford Fiesta,2011.0,170,TP HCM,Ban xe oto cu Ford Fiesta 2011 1.4 MT gia 170 Triệu - TP HCM,100000.0
Kia Sedona,2014.0,430,TP HCM,Ban xe oto cu Kia Sedona 2014 3.3L GATH gia 430 Triệu - TP HCM,100000.0
Kia Morning,2015.0,170,TP HCM,Ban xe oto cu Kia Morning 2015 Si MT gia 170 Triệu - TP HCM,100000.0
Kia Carnival,2022.0,999,TP HCM,Ban xe oto cu Kia Carnival 2022 Premium 2.2D gia 999 Triệu - TP HCM,90000.0
Kia Morning,2019.0,275,TP HCM,Ban xe oto cu Kia Morning 2019 Deluxe gia 275 Triệu - TP HCM,80000.0
Honda CRV,2022.0,855,TP HCM,Ban xe oto cu Honda CRV 2022 L gia 855 Triệu - TP HCM,31000.0
Hyundai SantaFe,2015.0,559,Hà Nội,Ban xe oto cu Hyundai SantaFe 2015 2.2L 4WD gia 559 Triệu - Hà Nội,110000.0
Mercedes Benz S class,2020.0,4498,TP HCM,Ban xe oto cu Mercedes Benz S class 2020 S450 4Matic Maybach gia 4 Tỷ 498 Triệu - TP HCM,25000.0
Mercedes Benz C class,2023.0,1989,Hà Nội,Ban xe oto cu Mercedes Benz C class 2023 C43 AMG 4Matic gia 1 Tỷ 989 Triệu - Hà Nội,6200.0
Bentley Continental,2013.0,3199,TP HCM,Ban xe oto cu Bentley Continental 2013 GT Speed gia 3 Tỷ 199 Triệu - TP HCM,14000.0
Toyota Yaris Cross,2026.0,683,TP HCM,Ban xe oto Toyota Yaris Cross 2026 HEV 1.5 CVT gia 683 Triệu - TP HCM,
Lexus RX,2019.0,2399,Hà Nội,Ban xe oto cu Lexus RX 2019 300 gia 2 Tỷ 399 Triệu - Hà Nội,66000.0
Toyota Camry,2021.0,810,Hà Nội,Ban xe oto cu Toyota Camry 2021 2.0G gia 810 Triệu - Hà Nội,45000.0
Kia Seltos,2021.0,575,Hà Nội,Ban xe oto cu Kia Seltos 2021 Premium 1.4 AT gia 575 Triệu - Hà Nội,42000.0
Hyundai SantaFe,2023.0,1186,Hà Nội,Ban xe oto cu Hyundai SantaFe 2023 Cao cấp 2.2L HTRAC gia 1 Tỷ 186 Triệu - Hà Nội,50000.0
VinFast VF9,2023.0,1059,Hà Nội,Ban xe oto cu VinFast VF9 2023 Plus 6S SDI gia 1 Tỷ 59 Triệu - Hà Nội,23000.0
VinFast VF8,2022.0,800,Hà Nội,Ban xe oto cu VinFast VF8 2022 Plus AWD gia 800 Triệu - Hà Nội,38000.0
Lexus LX,2026.0,8590,Hà Nội,Ban xe oto Lexus LX 2026 600 Urban gia 8 Tỷ 590 Triệu - Hà Nội,
Mercedes Benz GLC,2019.0,1519,TP HCM,Ban xe oto cu Mercedes Benz GLC 2019 300 Coupe 4Matic gia 1 Tỷ 519 Triệu - TP HCM,53000.0
Kia Seltos,2020.0,488,TP HCM,Ban xe oto cu Kia Seltos 2020 Deluxe 1.4 AT gia 488 Triệu - TP HCM,58000.0
Toyota Camry,2020.0,870,Hà Nội,Ban xe oto cu Toyota Camry 2020 2.5Q gia 870 Triệu - Hà Nội,65000.0
Mini Cooper,2024.0,1878,TP HCM,Ban xe oto cu Mini Cooper 2024 S 3 Door gia 1 Tỷ 878 Triệu - TP HCM,2678.0
Volkswagen Viloran,2025.0,2288,TP HCM,Ban xe oto Volkswagen Viloran 2025 Luxury gia 2 Tỷ 288 Triệu - TP HCM,
Ford Focus,2013.0,225,Hà Nội,Ban xe oto cu Ford Focus 2013 Titanium 2.0 AT gia 225 Triệu - Hà Nội,90000.0
Kia Carnival,2022.0,1088,TP HCM,Ban xe oto cu Kia Carnival 2022 Signature 2.2D gia 1 Tỷ 88 Triệu - TP HCM,57000.0
Ford Territory,2026.0,671,Hà Nội,Ban xe oto Ford Territory 2026 Trend 1.5 AT gia 671 Triệu - Hà Nội,
Ford Territory,2023.0,769,Hà Nội,Ban xe oto cu Ford Territory 2023 Titanium X 1.5 AT gia 769 Triệu - Hà Nội,44000.0
Toyota Corolla Cross,2026.0,800,TP HCM,Ban xe oto Toyota Corolla Cross 2026 1.8V gia 800 Triệu - TP HCM,
Suzuki Jimny,2024.0,725,Hà Nội,Ban xe oto cu Suzuki Jimny 2024 1.5L 4x4 AT gia 725 Triệu - Hà Nội,10000.0
Suzuki Swift,2019.0,379,Hà Nội,Ban xe oto cu Suzuki Swift 2019 GLX 1.2 AT gia 379 Triệu - Hà Nội,30000.0
Toyota Camry,2013.0,459,Hà Nội,Ban xe oto cu Toyota Camry 2013 2.5Q gia 459 Triệu - Hà Nội,130000.0
Mercedes Benz V class,2025.0,3990,Hà Nội,Ban xe oto Mercedes Benz V class 2025 V300 Avantgarde gia 3 Tỷ 990 Triệu - Hà Nội,
Hyundai Creta,2023.0,565,Hà Nội,Ban xe oto cu Hyundai Creta 2023 Đặc biệt 1.5 AT gia 565 Triệu - Hà Nội,34000.0
Mercedes Benz C class,2021.0,968,TP HCM,Ban xe oto cu Mercedes Benz C class 2021 C200 Exclusive gia 968 Triệu - TP HCM,23456.0
Lexus NX,2016.0,1120,Hà Nội,Ban xe oto cu Lexus NX 2016 200t gia 1 Tỷ 120 Triệu - Hà Nội,110000.0
Lexus RX,2026.0,3350,Hà Nội,Ban xe oto Lexus RX 2026 350h Premium gia 3 Tỷ 350 Triệu - Hà Nội,
Mercedes Benz GLS,2025.0,5999,Hà Nội,Ban xe oto Mercedes Benz GLS 2025 450 4Matic gia 5 Tỷ 999 Triệu - Hà Nội,
Mercedes Benz C class,2025.0,1899,Hà Nội,Ban xe oto cu Mercedes Benz C class 2025 C300 AMG gia 1 Tỷ 899 Triệu - Hà Nội,3100.0
Mercedes Benz GLE Class,2026.0,4669,Hà Nội,Ban xe oto Mercedes Benz GLE Class 2026 GLE 400 e 4Matic gia 4 Tỷ 669 Triệu - Hà Nội,
Mercedes Benz G class,2025.0,7999,Hà Nội,Ban xe oto Mercedes Benz G class 2025 G580 EQ gia 7 Tỷ 999 Triệu - Hà Nội,
Kia Morning,2016.0,235,Hà Nội,Ban xe oto cu Kia Morning 2016 Si AT gia 235 Triệu - Hà Nội,60000.0
Smart Fortwo,2008.0,289,TP HCM,Ban xe oto cu Smart Fortwo 2008 1.0 AT gia 289 Triệu - TP HCM,52000.0
Mercedes Benz V class,2022.0,2059,TP HCM,Ban xe oto cu Mercedes Benz V class 2022 V250 AMG gia 2 Tỷ 59 Triệu - TP HCM,80000.0
Peugeot 5008,2022.0,880,Hà Nội,Ban xe oto cu Peugeot 5008 2022 GT 1.6 AT gia 880 Triệu - Hà Nội,35994.0
Toyota Raize,2023.0,485,Hà Nội,Ban xe oto cu Toyota Raize 2023 G 1.0 CVT gia 485 Triệu - Hà Nội,29000.0
VinFast VF6,2026.0,583,Hà Nội,Ban xe oto VinFast VF6 2026 Eco gia 583 Triệu - Hà Nội,
Hyundai Kona,2021.0,497,TP HCM,Ban xe oto cu Hyundai Kona 2021 1.6 Turbo gia 497 Triệu - TP HCM,80000.0
Mercedes Benz GLC,2020.0,1679,TP HCM,Ban xe oto cu Mercedes Benz GLC 2020 300 4Matic gia 1 Tỷ 679 Triệu - TP HCM,14700.0
Toyota Corolla Cross,2026.0,800,Hà Nội,Ban xe oto Toyota Corolla Cross 2026 1.8V gia 800 Triệu - Hà Nội,
Toyota Raize,2026.0,503,Hà Nội,Ban xe oto Toyota Raize 2026 G 1.0 CVT gia 503 Triệu - Hà Nội,
Toyota Veloz,2026.0,570,Hà Nội,Ban xe oto Toyota Veloz 2026 Cross Top 1.5 CVT gia 570 Triệu - Hà Nội,
Mitsubishi Xpander,2021.0,495,Bình Dương,Ban xe oto cu Mitsubishi Xpander 2021 Cross 1.5 AT gia 495 Triệu - Bình Dương,27000.0
VinFast Fadil,2019.0,289,Hà Nội,Ban xe oto cu VinFast Fadil 2019 1.4 AT gia 289 Triệu - Hà Nội,70000.0
Honda CRV,2015.0,430,Hà Nội,Ban xe oto cu Honda CRV 2015 2.0 AT gia 430 Triệu - Hà Nội,80000.0
Chevrolet Trailblazer,2018.0,540,Hà Nội,Ban xe oto cu Chevrolet Trailblazer 2018 LTZ 2.5L VGT 4x4 AT gia 540 Triệu - Hà Nội,90000.0
Mitsubishi Attrage,2022.0,365,TP HCM,Ban xe oto cu Mitsubishi Attrage 2022 Premium 1.2 CVT gia 365 Triệu - TP HCM,52400.0
Mitsubishi Attrage,2022.0,355,TP HCM,Ban xe oto cu Mitsubishi Attrage 2022 1.2 CVT gia 355 Triệu - TP HCM,60000.0
Subaru Forester,2021.0,718,TP HCM,Ban xe oto cu Subaru Forester 2021 2.0i-S EyeSight gia 718 Triệu - TP HCM,39000.0
Kia Carnival,2022.0,1088,TP HCM,Ban xe oto cu Kia Carnival 2022 Signature 2.2D gia 1 Tỷ 88 Triệu - TP HCM,57000.0
Mitsubishi Xpander,2023.0,575,TP HCM,Ban xe oto cu Mitsubishi Xpander 2023 Cross 1.5 AT gia 575 Triệu - TP HCM,22700.0
Mitsubishi Xpander,2024.0,575,TP HCM,Ban xe oto cu Mitsubishi Xpander 2024 Premium 1.5 AT gia 575 Triệu - TP HCM,31100.0
VinFast Fadil,2019.0,297,TP HCM,Ban xe oto cu VinFast Fadil 2019 1.4 AT Plus gia 297 Triệu - TP HCM,31000.0
Mitsubishi Xpander,2024.0,570,TP HCM,Ban xe oto cu Mitsubishi Xpander 2024 Premium 1.5 AT gia 570 Triệu - TP HCM,30000.0
Mitsubishi Xpander,2024.0,565,TP HCM,Ban xe oto cu Mitsubishi Xpander 2024 Premium 1.5 AT gia 565 Triệu - TP HCM,63100.0
Mitsubishi Outlander,2018.0,560,TP HCM,Ban xe oto cu Mitsubishi Outlander 2018 2.0 CVT Premium gia 560 Triệu - TP HCM,75261.0
Mitsubishi Xpander,2021.0,485,TP HCM,Ban xe oto cu Mitsubishi Xpander 2021 1.5 AT gia 485 Triệu - TP HCM,62200.0
VinFast VF8,2026.0,974,Hà Nội,Ban xe oto VinFast VF8 2026 Plus AWD gia 974 Triệu - Hà Nội,
Mercedes Benz GLS,2017.0,1439,TP HCM,Ban xe oto cu Mercedes Benz GLS 2017 400 4Matic gia 1 Tỷ 439 Triệu - TP HCM,80000.0
Toyota Fortuner,2019.0,720,Hà Nội,Ban xe oto cu Toyota Fortuner 2019 2.7V 4x2 AT gia 720 Triệu - Hà Nội,117000.0
Mercedes Benz S class,2020.0,3978,TP HCM,Ban xe oto cu Mercedes Benz S class 2020 S450 4Matic Maybach gia 3 Tỷ 978 Triệu - TP HCM,24567.0
Chevrolet Spark,2018.0,139,Hà Nội,Ban xe oto cu Chevrolet Spark 2018 Duo Van 1.2 MT gia 139 Triệu - Hà Nội,92000.0
Mercedes Benz E class,2021.0,1250,Hà Nội,Ban xe oto cu Mercedes Benz E class 2021 E180 gia 1 Tỷ 250 Triệu - Hà Nội,70000.0
Lexus RX,2026.0,3350,Hà Nội,Ban xe oto Lexus RX 2026 350h Premium gia 3 Tỷ 350 Triệu - Hà Nội,
Toyota Yaris,2015.0,320,Hà Nội,Ban xe oto cu Toyota Yaris 2015 1.3E gia 320 Triệu - Hà Nội,89000.0
Rolls Royce Ghost,2013.0,9799,Hà Nội,Ban xe oto cu Rolls Royce Ghost 2013 EWB 6.6 V12 gia 9 Tỷ 799 Triệu - Hà Nội,20000.0
Ford Everest,2019.0,725,Hà Nội,Ban xe oto cu Ford Everest 2019 Titanium 2.0L 4x4 AT gia 725 Triệu - Hà Nội,119000.0
Mini Cooper,2023.0,1550,TP HCM,Ban xe oto cu Mini Cooper 2023 Countryman gia 1 Tỷ 550 Triệu - TP HCM,6789.0
Lexus RX,2023.0,3150,TP HCM,Ban xe oto cu Lexus RX 2023 350 Premium gia 3 Tỷ 150 Triệu - TP HCM,14000.0
Toyota Innova,2022.0,699,Đồng Nai,Ban xe oto cu Toyota Innova 2022 Venturer 2.0 AT gia 699 Triệu - Đồng Nai,142000.0
Kia Seltos,2024.0,699,Hà Nội,Ban xe oto cu Kia Seltos 2024 Premium 1.5 AT gia 699 Triệu - Hà Nội,10000.0
Hyundai Custin,2023.0,845,Hà Nội,Ban xe oto cu Hyundai Custin 2023 Cao Cấp 2.0T gia 845 Triệu - Hà Nội,30000.0
Hyundai Stargazer,2025.0,520,TP HCM,Ban xe oto Hyundai Stargazer 2025 X Cao cấp 1.5 AT gia 520 Triệu - TP HCM,120000.0
Mercedes Benz E class,2019.0,1139,TP HCM,Ban xe oto cu Mercedes Benz E class 2019 E200 Sport gia 1 Tỷ 139 Triệu - TP HCM,68000.0
Toyota Land Cruiser,2026.0,4580,Hà Nội,Ban xe oto Toyota Land Cruiser 2026 3.5 V6 gia 4 Tỷ 580 Triệu - Hà Nội,
Toyota Veloz,2022.0,515,TP HCM,Ban xe oto cu Toyota Veloz 2022 Cross Top 1.5 CVT gia 515 Triệu - TP HCM,61657.0
Lexus RX,2026.0,3350,Hà Nội,Ban xe oto Lexus RX 2026 350h Premium gia 3 Tỷ 350 Triệu - Hà Nội,
Ford EcoSport,2020.0,348,TP HCM,Ban xe oto cu Ford EcoSport 2020 Titanium 1.5L AT gia 348 Triệu - TP HCM,91000.0
Toyota Veloz,2023.0,510,Hà Nội,Ban xe oto cu Toyota Veloz 2023 Cross Top 1.5 CVT gia 510 Triệu - Hà Nội,68000.0
Mercedes Benz GLC,2018.0,999,Hà Nội,Ban xe oto cu Mercedes Benz GLC 2018 250 4Matic gia 999 Triệu - Hà Nội,80000.0
Honda CRV,2022.0,855,TP HCM,Ban xe oto cu Honda CRV 2022 L gia 855 Triệu - TP HCM,67000.0
Ford Ranger,2021.0,450,TP HCM,Ban xe oto cu Ford Ranger 2021 XLS 2.2L 4x2 MT gia 450 Triệu - TP HCM,82000.0
Honda Civic,2019.0,515,Hà Nội,Ban xe oto cu Honda Civic 2019 G 1.8 AT gia 515 Triệu - Hà Nội,70000.0
VinFast Lux SA 2.0,2021.0,620,Hà Nội,Ban xe oto cu VinFast Lux SA 2.0 2021 Base 2.0 AT gia 620 Triệu - Hà Nội,45000.0
Mercedes Benz GLS,2023.0,7188,TP HCM,Ban xe oto cu Mercedes Benz GLS 2023 480 4Matic Maybach gia 7 Tỷ 188 Triệu - TP HCM,30000.0
Mitsubishi Grandis,2008.0,235,Hà Nội,Ban xe oto cu Mitsubishi Grandis 2008 2.4 AT gia 235 Triệu - Hà Nội,87000.0
Kia Sedona,2020.0,688,TP HCM,Ban xe oto cu Kia Sedona 2020 2.2 DAT Luxury gia 688 Triệu - TP HCM,140000.0
VinFast VF7,2026.0,799,Hà Nội,Ban xe oto VinFast VF7 2026 Plus gia 799 Triệu - Hà Nội,
BMW 3 Series,2025.0,1549,Hà Nội,Ban xe oto BMW 3 Series 2025 320i M Sport gia 1 Tỷ 549 Triệu - Hà Nội,
VinFast VF3,2026.0,269,Hà Nội,Ban xe oto VinFast VF3 2026 Plus gia 269 Triệu - Hà Nội,
Volkswagen Teramont,2025.0,2799,Hà Nội,Ban xe oto Volkswagen Teramont 2025 Pro 2.0 AT gia 2 Tỷ 799 Triệu - Hà Nội,
Mitsubishi Xpander,2025.0,602,TP HCM,Ban xe oto cu Mitsubishi Xpander 2025 Premium 1.5 AT gia 602 Triệu - TP HCM,33000.0
Toyota Fortuner,2024.0,1025,Hà Nội,Ban xe oto cu Toyota Fortuner 2024 2.4L 4x2 AT gia 1 Tỷ 25 Triệu - Hà Nội,38000.0
Mercedes Benz S class,2017.0,1299,TP HCM,Ban xe oto cu Mercedes Benz S class 2017 S400L gia 1 Tỷ 299 Triệu - TP HCM,52000.0
MG RX5,2023.0,515,Hà Nội,Ban xe oto cu MG RX5 2023 1.5T STD gia 515 Triệu - Hà Nội,35000.0
Toyota Camry,2025.0,1160,TP HCM,Ban xe oto Toyota Camry 2025 2.0Q gia 1 Tỷ 160 Triệu - TP HCM,
Toyota Sienna,2018.0,2150,TP HCM,Ban xe oto cu Toyota Sienna 2018 Limited 3.5 gia 2 Tỷ 150 Triệu - TP HCM,38000.0
Mazda CX5,2023.0,728,TP HCM,Ban xe oto cu Mazda CX5 2023 Luxury 2.0 AT gia 728 Triệu - TP HCM,9800.0
Toyota Venza,2009.0,368,Hà Nội,Ban xe oto cu Toyota Venza 2009 2.7 gia 368 Triệu - Hà Nội,100000.0
Ford Territory,2024.0,825,Hà Nội,Ban xe oto cu Ford Territory 2024 Titanium X 1.5 AT gia 825 Triệu - Hà Nội,8000.0
Mazda CX5,2024.0,740,Hà Nội,Ban xe oto cu Mazda CX5 2024 Luxury 2.0 AT gia 740 Triệu - Hà Nội,53000.0
Kia Sorento,2021.0,865,Hà Nội,Ban xe oto cu Kia Sorento 2021 Signature 2.5 AT AWD 6S gia 865 Triệu - Hà Nội,40000.0
Hyundai Tucson,2023.0,770,Hà Nội,Ban xe oto cu Hyundai Tucson 2023 2.0 AT Đặc biệt gia 770 Triệu - Hà Nội,29000.0
Ford Territory,2024.0,810,Hà Nội,Ban xe oto cu Ford Territory 2024 Titanium X 1.5 AT gia 810 Triệu - Hà Nội,20000.0
Geely Coolray,2025.0,565,Hà Nội,Ban xe oto cu Geely Coolray 2025 Flagship gia 565 Triệu - Hà Nội,3000.0
Lexus NX,2015.0,1060,Hà Nội,Ban xe oto cu Lexus NX 2015 200t gia 1 Tỷ 60 Triệu - Hà Nội,57000.0
Hyundai SantaFe,2024.0,1300,Hà Nội,Ban xe oto cu Hyundai SantaFe 2024 Cao cấp 2.2L HTRAC gia 1 Tỷ 300 Triệu - Hà Nội,29000.0
VinFast Fadil,2021.0,320,Hà Nội,Ban xe oto cu VinFast Fadil 2021 1.4 AT Premium gia 320 Triệu - Hà Nội,45000.0
Kia Sorento,2022.0,888,Hà Nội,Ban xe oto cu Kia Sorento 2022 Signature 2.5 AT AWD gia 888 Triệu - Hà Nội,95000.0
Suzuki XL7,2022.0,450,Khánh Hòa,Ban xe oto cu Suzuki XL7 2022 1.5 AT gia 450 Triệu - Khánh Hòa,52468.0
Ford Ranger,2016.0,425,Hà Nội,Ban xe oto cu Ford Ranger 2016 XLS 2.2L 4x2 AT gia 425 Triệu - Hà Nội,140000.0
Toyota Fortuner,2019.0,739,Đồng Nai,Ban xe oto cu Toyota Fortuner 2019 2.4G 4x2 MT gia 739 Triệu - Đồng Nai,111000.0
Lexus RX,2026.0,3350,Hà Nội,Ban xe oto Lexus RX 2026 350h Premium gia 3 Tỷ 350 Triệu - Hà Nội,
Mitsubishi Pajero Sport,2012.0,280,TP HCM,Ban xe oto cu Mitsubishi Pajero Sport 2012 D 4x2 AT gia 280 Triệu - TP HCM,140000.0
Toyota Land Cruiser,2026.0,4580,Hà Nội,Ban xe oto Toyota Land Cruiser 2026 3.5 V6 gia 4 Tỷ 580 Triệu - Hà Nội,
Honda CRV,2022.0,810,Hà Nội,Ban xe oto cu Honda CRV 2022 G gia 810 Triệu - Hà Nội,49000.0
Toyota Corolla Cross,2020.0,680,Hà Nội,Ban xe oto cu Toyota Corolla Cross 2020 1.8HV gia 680 Triệu - Hà Nội,60000.0
Mazda 3,2025.0,669,TP HCM,Ban xe oto cu Mazda 3 2025 1.5L Premium gia 669 Triệu - TP HCM,11000.0
BMW Z4,2021.0,2298,TP HCM,Ban xe oto cu BMW Z4 2021 sDrive30i M Sport gia 2 Tỷ 298 Triệu - TP HCM,6000.0
Porsche Panamera,2022.0,4378,TP HCM,Ban xe oto cu Porsche Panamera 2022 2.9 V6 gia 4 Tỷ 378 Triệu - TP HCM,27272.0
VinFast VF5,2025.0,490,Hà Nội,Ban xe oto VinFast VF5 2025 Plus gia 490 Triệu - Hà Nội,
Honda HRV,2026.0,704,Hải Phòng,Ban xe oto Honda HRV 2026 L gia 704 Triệu - Hải Phòng,
Porsche Cayenne,2018.0,2589,Hà Nội,Ban xe oto cu Porsche Cayenne 2018 3.0 V6 gia 2 Tỷ 589 Triệu - Hà Nội,96000.0
Kia Seltos,2025.0,719,Hà Nội,Ban xe oto cu Kia Seltos 2025 Premium 1.5 AT gia 719 Triệu - Hà Nội,18000.0
Isuzu Dmax,2009.0,160,Bắc Giang,Ban xe oto cu Isuzu Dmax 2009 LS 3.0 4x2 MT gia 160 Triệu - Bắc Giang,300000.0
VinFast VF5,2025.0,415,Hà Nội,Ban xe oto cu VinFast VF5 2025 Plus gia 415 Triệu - Hà Nội,48000.0
Toyota Alphard,2026.0,4415,Hà Nội,Ban xe oto Toyota Alphard 2026 HEV 2.5 AT gia 4 Tỷ 415 Triệu - Hà Nội,
Toyota Land Cruiser,2026.0,4580,Hà Nội,Ban xe oto Toyota Land Cruiser 2026 3.5 V6 gia 4 Tỷ 580 Triệu - Hà Nội,
Audi TT,2015.0,959,TP HCM,Ban xe oto cu Audi TT 2015 2.0 TFSI gia 959 Triệu - TP HCM,85000.0
BMW 7 Series,2023.0,3500,TP HCM,Ban xe oto cu BMW 7 Series 2023 735i Pure Excellence gia 3 Tỷ 500 Triệu - TP HCM,70000.0
Mercedes Benz C class,2026.0,1946,Hà Nội,Ban xe oto Mercedes Benz C class 2026 C300 AMG gia 1 Tỷ 946 Triệu - Hà Nội,
Mercedes Benz GLS,2025.0,11999,Hà Nội,Ban xe oto Mercedes Benz GLS 2025 600 4Matic Maybach gia 11 Tỷ 999 Triệu - Hà Nội,
VinFast VF8,2026.0,890,Hà Nội,Ban xe oto VinFast VF8 2026 Eco gia 890 Triệu - Hà Nội,
Mercedes Benz S class,2014.0,1080,Hà Nội,Ban xe oto cu Mercedes Benz S class 2014 S400L gia 1 Tỷ 80 Triệu - Hà Nội,
VinFast VF6,2025.0,639,Long An,Ban xe oto cu VinFast VF6 2025 Plus gia 639 Triệu - Long An,16000.0
Mercedes Benz S class,2021.0,2280,TP HCM,Ban xe oto cu Mercedes Benz S class 2021 S450L Limited Edition gia 2 Tỷ 280 Triệu - TP HCM,39000.0
Lexus NX,2019.0,1630,Hà Nội,Ban xe oto cu Lexus NX 2019 300 gia 1 Tỷ 630 Triệu - Hà Nội,80000.0
Lexus RX,2026.0,3350,Hà Nội,Ban xe oto Lexus RX 2026 350h Premium gia 3 Tỷ 350 Triệu - Hà Nội,
VinFast Fadil,2020.0,299,Hà Nội,Ban xe oto cu VinFast Fadil 2020 1.4 AT gia 299 Triệu - Hà Nội,30000.0
Lexus LX,2012.0,2190,Hà Nội,Ban xe oto cu Lexus LX 2012 570 gia 2 Tỷ 190 Triệu - Hà Nội,180000.0
Kia Carnival,2021.0,1055,TP HCM,Ban xe oto cu Kia Carnival 2021 Signature 2.2D gia 1 Tỷ 55 Triệu - TP HCM,50000.0
Toyota Alphard,2026.0,4415,Hà Nội,Ban xe oto Toyota Alphard 2026 HEV 2.5 AT gia 4 Tỷ 415 Triệu - Hà Nội,
Mercedes Benz GLS,2022.0,3990,Hà Nội,Ban xe oto cu Mercedes Benz GLS 2022 450 4Matic gia 3 Tỷ 990 Triệu - Hà Nội,49000.0
Ford Everest,2024.0,1275,Hà Nội,Ban xe oto cu Ford Everest 2024 Titanium 2.0L 4x2 AT gia 1 Tỷ 275 Triệu - Hà Nội,20000.0
Toyota Corolla altis,2020.0,545,Hà Nội,Ban xe oto cu Toyota Corolla altis 2020 1.8G AT gia 545 Triệu - Hà Nội,60000.0
Porsche Macan,2023.0,4178,TP HCM,Ban xe oto cu Porsche Macan 2023 S gia 4 Tỷ 178 Triệu - TP HCM,8000.0
VinFast VF9,2023.0,968,Hà Nội,Ban xe oto cu VinFast VF9 2023 Plus 7S gia 968 Triệu - Hà Nội,
Kia Carnival,2025.0,1730,Hà Nội,Ban xe oto cu Kia Carnival 2025 Signature 1.6 Turbo HEV 7S gia 1 Tỷ 730 Triệu - Hà Nội,20000.0
Porsche 911,2022.0,6678,TP HCM,Ban xe oto cu Porsche 911 2022 Carrera gia 6 Tỷ 678 Triệu - TP HCM,18000.0
Lexus LM,2021.0,4850,TP HCM,Ban xe oto cu Lexus LM 2021 350 gia 4 Tỷ 850 Triệu - TP HCM,50000.0
Mercedes Benz C class,2014.0,550,Bình Dương,Ban xe oto cu Mercedes Benz C class 2014 C200 gia 550 Triệu - Bình Dương,76000.0
Toyota Veloz,2026.0,570,Hà Nội,Ban xe oto Toyota Veloz 2026 Cross Top 1.5 CVT gia 570 Triệu - Hà Nội,
Toyota Fortuner,2021.0,850,Hà Nội,Ban xe oto cu Toyota Fortuner 2021 2.4G 4x2 AT gia 850 Triệu - Hà Nội,110000.0
Mazda CX5,2020.0,628,Hà Nội,Ban xe oto cu Mazda CX5 2020 2.0 Deluxe gia 628 Triệu - Hà Nội,57000.0
Toyota Land Cruiser,2022.0,4960,Hà Nội,Ban xe oto cu Toyota Land Cruiser 2022 3.5 V6 gia 4 Tỷ 960 Triệu - Hà Nội,57000.0
Mazda 3,2024.0,600,Hà Nội,Ban xe oto cu Mazda 3 2024 1.5L Luxury gia 600 Triệu - Hà Nội,24000.0
VinFast VF MPV 7,2026.0,735,Hà Nội,Ban xe oto VinFast VF MPV 7 2026 AT gia 735 Triệu - Hà Nội,
Mercedes Benz C class,2018.0,635,TP HCM,Ban xe oto cu Mercedes Benz C class 2018 C20 gia 635 Triệu - TP HCM,60000.0
VinFast VF8,2026.0,820,Hà Nội,Ban xe oto VinFast VF8 2026 Eco gia 820 Triệu - Hà Nội,
Ford Ranger,2021.0,715,TP HCM,Ban xe oto cu Ford Ranger 2021 Wildtrak 2.0L 4x4 AT gia 715 Triệu - TP HCM,20000.0
Hyundai Tucson,2023.0,770,Hà Nội,Ban xe oto cu Hyundai Tucson 2023 2.0 AT Đặc biệt gia 770 Triệu - Hà Nội,29000.0
Toyota Land Cruiser,2026.0,4580,Hà Nội,Ban xe oto Toyota Land Cruiser 2026 3.5 V6 gia 4 Tỷ 580 Triệu - Hà Nội,
