Hãng_Mẫu,Năm_SX,Giá_Triệu,Địa_Điểm,Chuỗi_Gốc,Số_KM
VinFast Fadil,2019.0,285,Hà Nội,Ban xe oto cu VinFast Fadil 2019 1.4 AT Premium gia 285 Triệu - Hà Nội,200000.0
Mazda CX5,2017.0,515,Hà Nội,Ban xe oto cu Mazda CX5 2017 2.5 AT 2WD gia 515 Triệu - Hà Nội,
Peugeot 3008,2015.0,325,Hà Nội,Ban xe oto cu Peugeot 3008 2015 1.6 AT gia 325 Triệu - Hà Nội,115000.0
Mercedes Benz GLB,2021.0,1430,Hà Nội,Ban xe oto cu Mercedes Benz GLB 2021 35 4Matic gia 1 Tỷ 430 Triệu - Hà Nội,67000.0
Mercedes Benz S class,2022.0,3150,Hà Nội,Ban xe oto cu Mercedes Benz S class 2022 S450 4Matic gia 3 Tỷ 150 Triệu - Hà Nội,40000.0
Volvo XC60,2018.0,1020,Hà Nội,Ban xe oto cu Volvo XC60 2018 Inscription gia 1 Tỷ 20 Triệu - Hà Nội,80000.0
BMW 5 Series,2024.0,2278,TP HCM,Ban xe oto cu BMW 5 Series 2024 520i gia 2 Tỷ 278 Triệu - TP HCM,0.0
Toyota Yaris Cross,2026.0,589,Hà Nội,Ban xe oto Toyota Yaris Cross 2026 1.5 D-CVT gia 589 Triệu - Hà Nội,
Audi Q7,2023.0,2880,Hà Nội,Ban xe oto cu Audi Q7 2023 45 TFSI Quattro gia 2 Tỷ 880 Triệu - Hà Nội,32000.0
BMW X4,2020.0,1730,Hà Nội,Ban xe oto cu BMW X4 2020 xDrive20i M Sport gia 1 Tỷ 730 Triệu - Hà Nội,80000.0
Mercedes Benz E class,2017.0,990,Hà Nội,Ban xe oto cu Mercedes Benz E class 2017 E300 AMG gia 990 Triệu - Hà Nội,50000.0
Toyota Land Cruiser,2024.0,5550,Hà Nội,Ban xe oto cu Toyota Land Cruiser 2024 3.5 V6 gia 5 Tỷ 550 Triệu - Hà Nội,11000.0
Toyota Prado,2022.0,2680,Hà Nội,Ban xe oto cu Toyota Prado 2022 VX 2.7L gia 2 Tỷ 680 Triệu - Hà Nội,50000.0
Mercedes Benz E class,2016.0,599,Hà Nội,Ban xe oto cu Mercedes Benz E class 2016 E250 AMG gia 599 Triệu - Hà Nội,80000.0
Mercedes Benz S class,2022.0,3580,Hà Nội,Ban xe oto cu Mercedes Benz S class 2022 S450 4Matic gia 3 Tỷ 580 Triệu - Hà Nội,30000.0
Honda CRV,2020.0,819,Hà Nội,Ban xe oto cu Honda CRV 2020 L gia 819 Triệu - Hà Nội,50000.0
LandRover Range Rover,2014.0,2290,Hà Nội,Ban xe oto cu LandRover Range Rover 2014 Supercharged 5.0 gia 2 Tỷ 290 Triệu - Hà Nội,86000.0
Mercedes Benz C class,2015.0,520,Hà Nội,Ban xe oto cu Mercedes Benz C class 2015 C200 gia 520 Triệu - Hà Nội,150000.0
Toyota Prado,2018.0,1830,Hà Nội,Ban xe oto cu Toyota Prado 2018 VX 2.7L gia 1 Tỷ 830 Triệu - Hà Nội,100000.0
Kia K5,2022.0,755,Hà Nội,Ban xe oto cu Kia K5 2022 GT-Line 2.5 AT gia 755 Triệu - Hà Nội,60000.0
Lexus RX,2024.0,3399,Hà Nội,Ban xe oto cu Lexus RX 2024 350 Premium gia 3 Tỷ 399 Triệu - Hà Nội,10000.0
Hyundai SantaFe,2022.0,1145,Hà Nội,Ban xe oto cu Hyundai SantaFe 2022 Cao cấp 2.2L HTRAC gia 1 Tỷ 145 Triệu - Hà Nội,30000.0
Toyota Prado,2023.0,2960,Hà Nội,Ban xe oto cu Toyota Prado 2023 VX 2.7L gia 2 Tỷ 960 Triệu - Hà Nội,40000.0
VinFast VF8,2026.0,1011,Hà Nội,Ban xe oto VinFast VF8 2026 Plus AWD gia 1 Tỷ 11 Triệu - Hà Nội,
Ford Escape,2013.0,350,TP HCM,Ban xe oto cu Ford Escape 2013 XLT 2.3L 4x4 AT gia 350 Triệu - TP HCM,84000.0
Hyundai Accent,2024.0,435,Hà Nội,Ban xe oto cu Hyundai Accent 2024 1.5 AT gia 435 Triệu - Hà Nội,38000.0
Hyundai Veloster,2011.0,295,Hà Nội,Ban xe oto cu Hyundai Veloster 2011 1.6 AT gia 295 Triệu - Hà Nội,110000.0
Ford EcoSport,2020.0,430,Hà Nội,Ban xe oto cu Ford EcoSport 2020 Titanium 1.0 EcoBoost gia 430 Triệu - Hà Nội,80000.0
Mercedes Benz C class,2016.0,550,Hà Nội,Ban xe oto cu Mercedes Benz C class 2016 C200 gia 550 Triệu - Hà Nội,90000.0
Honda CRV,2017.0,529,Hà Nội,Ban xe oto cu Honda CRV 2017 2.4 AT - TG gia 529 Triệu - Hà Nội,86000.0
Peugeot 3008,2020.0,580,Hà Nội,Ban xe oto cu Peugeot 3008 2020 Allure 1.6 AT gia 580 Triệu - Hà Nội,86000.0
Mazda CX5,2018.0,495,Hà Nội,Ban xe oto cu Mazda CX5 2018 2.5 AT 2WD gia 495 Triệu - Hà Nội,86000.0
Toyota Camry,2013.0,410,Hà Nội,Ban xe oto cu Toyota Camry 2013 2.0E gia 410 Triệu - Hà Nội,120000.0
Mazda 3,2023.0,569,Hà Nội,Ban xe oto cu Mazda 3 2023 1.5L Luxury gia 569 Triệu - Hà Nội,22000.0
